ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 524288 0xd00 135 6554.07005 6.128563 104.294525 119.340317 687914963873943 687932659136038
0 524288 0xd00 125 6545.478238 6.137323 104.56282 119.55629 688057743268451 688075460831089
0 524288 0xd00 115 6555.766988 6.127362 104.358704 119.33374 688199808536231 688217498143841
0 524288 0xd00 105 6549.803928 6.132276 104.483963 119.521042 688340462997035 688358170119724
0 524288 0xd00 95 6548.462527 6.133722 104.460983 119.517792 688481154128597 688498864200054
0 524288 0xd00 85 6543.850685 6.137924 104.425003 119.584625 688621870798981 688639593285450
0 524288 0xd00 75 6543.814186 6.137948 104.714218 119.602112 688762549919584 688780272280154
0 524288 0xd00 65 6548.015515 6.13457 104.648209 119.485992 688903265814731 688920977500994
0 524288 0xd00 55 6548.999839 6.133322 104.623123 119.561066 689043950812218 689061659736756
0 524288 0xd00 45 6561.883096 6.121714 104.340958 119.268143 689155774288800 689173448859858
0 64 0xe00 135 29.587038 0.189827 2.845001 3.226013 686520443813085 686520921988159
0 64 0xe00 125 29.846222 0.187782 2.792313 3.201233 686631873301678 686632347375107
0 64 0xe00 115 29.720485 0.18829 2.808746 3.188782 686772291217045 686772767254173
0 64 0xe00 105 29.713112 0.189008 2.842178 3.203125 686912656873302 686913133129776
0 64 0xe00 95 29.744399 0.188821 2.799332 3.217834 687024084105479 687024559787921
0 64 0xe00 85 29.496783 0.189601 2.840271 3.22319 687171560245779 687172039894917
0 64 0xe00 75 29.653912 0.189179 2.823654 3.208191 687317879728271 687318356846213
0 64 0xe00 65 29.810685 0.188294 2.81102 3.186752 687458233832605 687458708444939
0 64 0xe00 55 29.99915 0.187277 2.783936 3.177078 687569680759127 687570152448285
0 64 0xe00 45 29.549088 0.189504 2.832794 3.231461 687681185770806 687681664566253
0 8192 0xe00 135 1865.715248 0.359129 5.721939 6.624237 686550478875670 686551449927686
0 8192 0xe00 125 1862.052261 0.360395 5.757706 6.624374 686661908457611 686662881422201
0 8192 0xe00 115 1861.105727 0.360368 5.77124 6.622375 686802329334448 686803302809393
0 8192 0xe00 105 1862.203055 0.347945 5.716934 6.596985 686913759323710 686914732229395
0 8192 0xe00 95 1860.296121 0.360456 5.778687 6.592926 687054115920615 687055089798615
0 8192 0xe00 85 1856.599134 0.361333 5.741211 6.620209 687207595440124 687208571261409
0 8192 0xe00 75 1864.235863 0.360129 5.789413 6.598679 687347900347680 687348872211617
0 8192 0xe00 65 1862.036389 0.348 5.768311 6.626068 687459342675564 687460315752233
0 8192 0xe00 55 1860.190515 0.348354 5.793457 6.622055 687570794170145 687571768104745
0 8192 0xe00 45 1868.662423 0.358433 5.720367 6.60379 687711203549718 687712173098163
0 65536 0xe00 135 4600.23923 1.111113 18.599319 21.727646 686581010467431 686584161527913
0 65536 0xe00 125 4589.812755 1.113398 18.747559 21.756866 686692451578475 686695609824830
0 65536 0xe00 115 4618.340641 1.107242 18.586411 21.623276 686832855264009 686835993900509
0 65536 0xe00 105 4598.952997 1.111815 18.64093 21.723679 686944299707783 686947451209587
0 65536 0xe00 95 4599.224307 1.111216 18.63501 21.689575 687084676569767 687087828372723
0 65536 0xe00 85 4600.129242 1.111156 18.627136 21.681885 687238118584499 687241269459389
0 65536 0xe00 75 4602.632023 1.110982 18.604111 21.68576 687378411589875 687381561097357
0 65536 0xe00 65 4643.461375 1.100939 18.460709 21.481674 687489881671157 687493003475793
0 65536 0xe00 55 4567.958432 1.119245 18.759003 21.861771 687601332144642 687604504937126
0 65536 0xe00 45 4598.293514 1.111871 18.634048 21.704391 687741744449583 687744896239689
0 524288 0xe00 135 6635.431458 6.052425 103.538055 121.336334 686584855867181 686602333308169
0 524288 0xe00 125 6612.679643 6.073607 103.805313 121.75473 686725179969834 686742718651145
0 524288 0xe00 115 6618.169812 6.068935 103.523972 121.599136 686865560554875 686883084300767
0 524288 0xe00 105 6626.038912 6.061519 103.478439 121.499054 686977027060852 686994527945509
0 524288 0xe00 95 6626.919356 6.060897 103.49086 121.490967 687124490602487 687141990614961
0 524288 0xe00 85 6634.00413 6.054156 103.508087 121.332748 687270838155616 687288320363126
0 524288 0xe00 75 6608.972345 6.077208 103.986115 121.794571 687411128494065 687428677059739
0 524288 0xe00 65 6606.40947 6.079575 103.674484 121.847977 687522554914750 687540110250558
0 524288 0xe00 55 6604.230196 6.081835 103.855042 121.917984 687634060438722 687651621084338
0 524288 0xe00 45 6612.171441 6.074366 103.916077 121.786911 687774468748939 687792006410797
0 64 0xf00 135 31.012588 0.180497 2.7099 3.170471 685114711792634 685115168185115
0 64 0xf00 125 31.071826 0.180368 2.71669 3.169724 685254677352022 685255132910797
0 64 0xf00 115 30.687717 0.183048 2.719238 3.187973 685394605252815 685395066431233
0 64 0xf00 105 30.831487 0.181142 2.711716 3.187759 685534625877279 685535084945215
