i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
106 0 0 8 60626 0 0 0 0 0 0 0 0 11307349359179
107 1 66 3 8012 0 0 0 0 0 0 0 0 11307349703659
108 28 40944 0 0 0 0 0 0 0 0 0 0 11307350055498
109 19 27694 2 66 160934396920 364359932585 372349811749 353735060 4896103437 0 10027249824222 751711532 11307350412227
110 0 0 8 60626 0 0 0 0 0 0 0 0 11307350773141
111 18 24356 3 8012 0 0 0 0 0 0 0 0 11307351142021
112 11 16654 2 66 0 0 0 0 0 0 0 0 11307351516295
113 19 27694 2 66 0 0 0 0 0 0 0 0 11307351890937
114 0 0 8 60626 0 0 0 0 0 0 0 0 11307352263500
115 29 41010 3 8012 0 0 0 0 0 0 0 0 11307352639068
116 19 27694 2 66 0 0 0 0 0 0 0 0 11307353013701
117 0 0 8 60626 160934661585 364360449560 372350790093 353739267 4896103437 0 10027249824222 751712961 11307353385992
118 1 66 3 8012 0 0 0 0 0 0 0 0 11307353760199
119 47 68638 0 0 0 0 0 0 0 0 0 0 11307354133641
120 0 0 2 66 0 0 0 0 0 0 0 0 11307354508254
121 1 66 6 60560 0 0 0 0 0 0 0 0 11307354882983
122 1 66 3 8012 0 0 0 0 0 0 0 0 11307355256869
123 47 68638 0 0 0 0 0 0 0 0 0 0 11307355633329
124 0 0 2 66 0 0 0 0 0 0 0 0 11307356004906
125 1 66 6 60560 160934901876 364360906746 372351622335 353743352 4896103437 0 10027249824222 751714326 11307356379566
126 2 132 3 8012 0 0 0 0 0 0 0 0 11307356753637
127 46 68572 0 0 0 0 0 0 0 0 0 0 11307357166153
128 0 0 8 60626 0 0 0 0 0 0 0 0 11307357502127
129 1 66 3 8012 0 0 0 0 0 0 0 0 11307357876160
130 47 68638 0 0 0 0 0 0 0 0 0 0 11307358252937
131 0 0 2 66 0 0 0 0 0 0 0 0 11307358624021
132 1 66 6 60560 0 0 0 0 0 0 0 0 11307358998875
133 1 66 3 8012 160935142772 364361370929 372352481692 353747354 4896178315 0 10027249824222 751715726 11307359372676
134 47 68638 0 0 0 0 0 0 0 0 0 0 11307359749134
135 0 0 2 66 0 0 0 0 0 0 0 0 11307360152495
136 1 66 6 60560 0 0 0 0 0 0 0 0 11307360496058
137 1 66 3 8012 0 0 0 0 0 0 0 0 11307360869288
138 42 62140 0 0 0 0 0 0 0 0 0 0 11307361245496
139 5 6498 2 66 0 0 0 0 0 0 0 0 11307361619460
140 0 0 8 60626 0 0 0 0 0 0 0 0 11307361991820
141 1 66 3 8012 160935389993 364361842838 372353390871 353751276 4896432007 0 10027249824222 751717183 11307362366123
142 47 68638 0 0 0 0 0 0 0 0 0 0 11307362748376
143 0 0 8 60626 0 0 0 0 0 0 0 0 11307363199931
144 1 66 3 8012 0 0 0 0 0 0 0 0 11307363587255
145 47 68638 0 0 0 0 0 0 0 0 0 0 11307363860676
146 0 0 2 66 0 0 0 0 0 0 0 0 11307364313754
147 0 0 6 60560 0 0 0 0 0 0 0 0 11307364698651
148 2 132 3 8012 0 0 0 0 0 0 0 0 11307365009685
149 46 68572 0 0 160935720134 364362731483 372354917170 353757786 4896548819 0 10027250608440 751718350 11307365359294
150 0 0 2 66 0 0 0 0 0 0 0 0 11307365959725
151 1 66 6 60560 0 0 0 0 0 0 0 0 11307366118427
152 0 0 3 8012 0 0 0 0 0 0 0 0 11307366592255
153 1 66 0 0 0 0 0 0 0 0 0 0 11307366982004
154 46 68572 0 0 0 0 0 0 0 0 0 0 11307367258021
155 0 0 2 66 0 0 0 0 0 0 0 0 11307367663263
156 0 0 6 60560 0 0 0 0 0 0 0 0 11307368008586
157 2 132 3 8012 160935872740 364363263009 372355906012 353760165 4896817823 0 10027251130788 751719841 11307368383353
158 46 68572 0 0 0 0 0 0 0 0 0 0 11307368790716
159 0 0 2 66 0 0 0 0 0 0 0 0 11307369130567
160 0 0 6 60560 0 0 0 0 0 0 0 0 11307369505062
161 1 66 3 8012 0 0 0 0 0 0 0 0 11307369879916
162 47 68638 0 0 0 0 0 0 0 0 0 0 11307370255321
163 0 0 2 66 0 0 0 0 0 0 0 0 11307370627130
