i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
6 0 0 3 72 0 0 0 0 0 0 0 0 10734050117594
7 0 0 3 7570 0 0 0 0 0 0 0 0 10734050164525
8 0 0 3 1018 0 0 0 0 0 0 0 0 10734051004129
9 0 0 3 8588 0 0 0 0 0 0 0 0 10734051060590
10 0 0 0 0 0 0 0 0 0 0 0 0 10734051500981
11 0 0 2 66 0 0 0 0 0 0 0 0 10734051592950
12 0 0 3 8588 0 0 0 0 0 0 0 0 10734051635754
13 0 0 0 0 0 0 0 0 0 0 0 0 10734052106588
14 0 0 2 66 154049878905 351389973534 352852746958 146799568 4639195395 0 9509296237490 525952431 10734052199422
15 0 0 3 8588 0 0 0 0 0 0 0 0 10734052233425
16 0 0 0 0 0 0 0 0 0 0 0 0 10734052693740
17 0 0 2 66 0 0 0 0 0 0 0 0 10734052784499
18 0 0 3 8588 0 0 0 0 0 0 0 0 10734052974964
19 1 66 0 0 0 0 0 0 0 0 0 0 10734053043210
20 6 8588 0 0 0 0 0 0 0 0 0 0 10734053164905
21 0 0 2 66 0 0 0 0 0 0 0 0 10734053219601
22 0 0 3 8588 0 0 0 0 0 0 0 0 10734053519642
23 7 8654 0 0 0 0 0 0 0 0 0 0 10734053602107
24 0 0 0 0 0 0 0 0 0 0 0 0 10734053685626
25 0 0 2 66 0 0 0 0 0 0 0 0 10734053751282
26 0 0 3 8588 0 0 0 0 0 0 0 0 10734053952774
27 1 66 0 0 0 0 0 0 0 0 0 0 10734054060492
28 6 8588 0 0 0 0 0 0 0 0 0 0 10734054139671
29 0 0 2 66 0 0 0 0 0 0 0 0 10734054241076
30 0 0 3 8588 0 0 0 0 0 0 0 0 10734054347771
31 1 66 0 0 0 0 0 0 0 0 0 0 10734054462508
32 6 8588 0 0 0 0 0 0 0 0 0 0 10734054582510
33 0 0 5 8654 0 0 0 0 0 0 0 0 10734054704115
34 1 66 0 0 0 0 0 0 0 0 0 0 10734054836657
35 6 8588 0 0 0 0 0 0 0 0 0 0 10734054986816
36 0 0 5 8654 154050102353 351390488526 352853776922 146801345 4639222336 0 9509296237490 525953915 10734055113891
37 1 66 0 0 0 0 0 0 0 0 0 0 10734055264300
38 6 8588 0 0 0 0 0 0 0 0 0 0 10734055417523
39 0 0 5 8654 0 0 0 0 0 0 0 0 10734055577421
40 7 8654 0 0 0 0 0 0 0 0 0 0 10734055744390
41 0 0 5 8654 0 0 0 0 0 0 0 0 10734055915687
42 1 66 0 0 0 0 0 0 0 0 0 0 10734056094040
43 6 8588 0 0 0 0 0 0 0 0 0 0 10734056278873
44 0 0 5 8654 0 0 0 0 0 0 0 0 10734056469917
45 1 66 0 0 0 0 0 0 0 0 0 0 10734056665899
46 6 8588 0 0 0 0 0 0 0 0 0 0 10734056866804
47 0 0 5 8654 0 0 0 0 0 0 0 0 10734057075544
48 1 66 0 0 0 0 0 0 0 0 0 0 10734057287773
49 6 8588 0 0 0 0 0 0 0 0 0 0 10734057510312
50 1 66 5 8654 0 0 0 0 0 0 0 0 10734057735158
51 6 8588 0 0 0 0 0 0 0 0 0 0 10734057965217
52 1 66 5 8654 154050335377 351390948839 352854608729 146803049 4639222336 0 9509296237490 525955320 10734058204262
53 6 8588 0 0 0 0 0 0 0 0 0 0 10734058446421
54 1 66 5 8654 0 0 0 0 0 0 0 0 10734058697302
55 6 8588 0 0 0 0 0 0 0 0 0 0 10734058951256
56 1 66 5 8654 0 0 0 0 0 0 0 0 10734059223844
57 6 8588 0 0 0 0 0 0 0 0 0 0 10734059507687
58 1 66 5 8654 0 0 0 0 0 0 0 0 10734059754593
59 6 8588 0 0 0 0 0 0 0 0 0 0 10734060049880
60 1 66 5 8654 0 0 0 0 0 0 0 0 10734060318721
61 7 8654 0 0 0 0 0 0 0 0 0 0 10734060610885
62 1 66 5 8654 0 0 0 0 0 0 0 0 10734060906560
63 6 8588 0 0 154050545845 351391350895 352855447322 146804666 4639222336 0 9509296237490 525956743 10734061210326
64 7 8654 5 8654 0 0 0 0 0 0 0 0 10734061549800
65 7 8654 2 66 0 0 0 0 0 0 0 0 10734061832106
66 7 8654 8 17242 0 0 0 0 0 0 0 0 10734062154778
67 7 8654 5 8654 0 0 0 0 0 0 0 0 10734062481628
68 5 6122 5 8654 0 0 0 0 0 0 0 0 10734062814073
69 2 2532 2 66 0 0 0 0 0 0 0 0 10734063156032
70 1 66 5 8654 0 0 0 0 0 0 0 0 10734063196855
71 6 8588 0 0 0 0 0 0 0 0 0 0 10734063247431
72 0 0 2 66 0 0 0 0 0 0 0 0 10734063330579
73 0 0 3 8588 0 0 0 0 0 0 0 0 10734063360769
74 0 0 0 0 0 0 0 0 0 0 0 0 10734063458446
75 1 66 0 0 0 0 0 0 0 0 0 0 10734063558610
76 6 8588 0 0 0 0 0 0 0 0 0 0 10734063627311
77 0 0 2 66 0 0 0 0 0 0 0 0 10734063705333
78 0 0 3 8588 0 0 0 0 0 0 0 0 10734063826694
79 1 66 0 0 0 0 0 0 0 0 0 0 10734063915843
80 6 8588 0 0 0 0 0 0 0 0 0 0 10734064011578
81 0 0 5 8654 154050848006 351391936993 352856611904 146807230 4639222336 0 9509296237490 525958210 10734064111767
82 1 66 0 0 0 0 0 0 0 0 0 0 10734064218769
83 6 8588 0 0 0 0 0 0 0 0 0 0 10734064332434
84 0 0 5 8654 0 0 0 0 0 0 0 0 10734064450305
85 1 66 0 0 0 0 0 0 0 0 0 0 10734064575141
86 6 8588 0 0 0 0 0 0 0 0 0 0 10734064706428
87 0 0 5 8654 0 0 0 0 0 0 0 0 10734064869020
88 1 66 0 0 0 0 0 0 0 0 0 0 10734065016839
89 6 8588 0 0 0 0 0 0 0 0 0 0 10734065167530
90 0 0 5 8654 0 0 0 0 0 0 0 0 10734065328074
91 1 66 0 0 0 0 0 0 0 0 0 0 10734065488531
92 6 8588 0 0 0 0 0 0 0 0 0 0 10734065653716
93 0 0 5 8654 0 0 0 0 0 0 0 0 10734065826923
94 1 66 0 0 0 0 0 0 0 0 0 0 10734066005175
95 6 8588 0 0 0 0 0 0 0 0 0 0 10734066188279
96 0 0 5 8654 0 0 0 0 0 0 0 0 10734066379266
97 1 66 0 0 0 0 0 0 0 0 0 0 10734066575413
98 6 8588 0 0 0 0 0 0 0 0 0 0 10734066775983
99 0 0 5 8654 0 0 0 0 0 0 0 0 10734066985056
100 7 8654 0 0 154051108180 351392434854 352857502610 146809292 4639222336 0 9509296237490 525959535 10734067197928
101 0 0 5 8654 0 0 0 0 0 0 0 0 10734067418606
102 1 66 0 0 0 0 0 0 0 0 0 0 10734067642657
103 6 8588 0 0 0 0 0 0 0 0 0 0 10734067877261
104 0 0 5 8654 0 0 0 0 0 0 0 0 10734068111865
105 7 8654 0 0 0 0 0 0 0 0 0 0 10734068358623
106 0 0 5 8654 0 0 0 0 0 0 0 0 10734068606486
107 1 66 0 0 0 0 0 0 0 0 0 0 10734068861956
108 6 8588 0 0 0 0 0 0 0 0 0 0 10734069122121
109 0 0 5 8654 0 0 0 0 0 0 0 0 10734069390501
110 1 66 0 0 0 0 0 0 0 0 0 0 10734069663797
111 6 8588 0 0 0 0 0 0 0 0 0 0 10734069957799
