i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
6 0 0 3 72 0 0 0 0 0 0 0 0 11179492935967
7 0 0 3 130 0 0 0 0 0 0 0 0 11179493615147
8 0 0 3 130 0 0 0 0 0 0 0 0 11179494297251
9 0 0 3 130 0 0 0 0 0 0 0 0 11179494930597
10 0 0 3 130 156402585186 355576095365 361811111061 176947558 4689370470 0 9913684722570 698718152 11179495252285
11 0 0 3 130 0 0 0 0 0 0 0 0 11179495769955
12 0 0 3 130 0 0 0 0 0 0 0 0 11179496279938
13 0 0 2 66 0 0 0 0 0 0 0 0 11179496334469
14 0 0 3 130 0 0 0 0 0 0 0 0 11179496863940
15 0 0 3 130 0 0 0 0 0 0 0 0 11179497165154
16 1 130 0 0 0 0 0 0 0 0 0 0 11179497292067
17 0 0 3 130 0 0 0 0 0 0 0 0 11179497581324
18 1 130 0 0 0 0 0 0 0 0 0 0 11179497655814
19 0 0 3 130 0 0 0 0 0 0 0 0 11179497748517
20 1 130 0 0 0 0 0 0 0 0 0 0 11179497796396
21 0 0 0 0 0 0 0 0 0 0 0 0 11179497843497
22 0 0 3 130 0 0 0 0 0 0 0 0 11179497910561
23 1 130 0 0 0 0 0 0 0 0 0 0 11179497985341
24 0 0 3 130 0 0 0 0 0 0 0 0 11179498087000
25 1 130 0 0 0 0 0 0 0 0 0 0 11179498135058
26 0 0 0 0 156402746240 355576511110 361811975841 176947918 4689833687 0 9913684722570 698719672 11179498182014
27 0 0 3 130 0 0 0 0 0 0 0 0 11179498235620
28 1 130 0 0 0 0 0 0 0 0 0 0 11179498283456
29 0 0 0 0 0 0 0 0 0 0 0 0 11179498330663
30 0 0 3 130 0 0 0 0 0 0 0 0 11179498383946
31 1 130 0 0 0 0 0 0 0 0 0 0 11179498431902
32 0 0 0 0 0 0 0 0 0 0 0 0 11179498478974
33 0 0 3 130 0 0 0 0 0 0 0 0 11179498532595
34 1 130 0 0 0 0 0 0 0 0 0 0 11179498580435
35 0 0 0 0 0 0 0 0 0 0 0 0 11179498627444
