fname,joules_per_interrupt,time_per_interrupt,read_avg,read_std,read_min,read_5th,read_10th,read_50th,read_90th,read_95th,read_99th,sys,itr,dvfs,rapl,core,exp,instructions_1,instructions_10,instructions_25,instructions_50,instructions_75,instructions_90,instructions_99,cycles_1,cycles_10,cycles_25,cycles_50,cycles_75,cycles_90,cycles_99,ref_cycles_1,ref_cycles_10,ref_cycles_25,ref_cycles_50,ref_cycles_75,ref_cycles_90,ref_cycles_99,llc_miss_1,llc_miss_10,llc_miss_25,llc_miss_50,llc_miss_75,llc_miss_90,llc_miss_99,c1_1,c1_10,c1_25,c1_50,c1_75,c1_90,c1_99,c1e_1,c1e_10,c1e_25,c1e_50,c1e_75,c1e_90,c1e_99,c3_1,c3_10,c3_25,c3_50,c3_75,c3_90,c3_99,c7_1,c7_10,c7_25,c7_50,c7_75,c7_90,c7_99,joules_1,joules_10,joules_25,joules_50,joules_75,joules_90,joules_99,rx_desc_1,rx_desc_10,rx_desc_25,rx_desc_50,rx_desc_75,rx_desc_90,rx_desc_99,rx_bytes_1,rx_bytes_10,rx_bytes_25,rx_bytes_50,rx_bytes_75,rx_bytes_90,rx_bytes_99,tx_desc_1,tx_desc_10,tx_desc_25,tx_desc_50,tx_desc_75,tx_desc_90,tx_desc_99,tx_bytes_1,tx_bytes_10,tx_bytes_25,tx_bytes_50,tx_bytes_75,tx_bytes_90,tx_bytes_99
data/qps_200000//linux.mcd.dmesg.0_7_2_0xf00_135_200000,0.0008169929668216,2.6855243623755622e-05,63.6,12.8,41.1,50.6,51.8,59.8,79.3,87.7,109.4,linux,2,3840,135,7,0,0.26314052858623144,0.35662620411293205,0.41406501781451754,0.47934904596955696,0.5498750975511223,0.6232195592176608,0.843459390014357,0.3067397914262936,0.4133927534720309,0.47716759099190365,0.5482115859351726,0.6204339723851682,0.6843750860072171,0.7910757620648837,0.3505041244745425,0.4724006070163777,0.5452663652403567,0.6264472465541808,0.7090284392080236,0.7820676873325358,0.9040013462816288,0.2415505895389639,0.34798837446659586,0.4150587594894873,0.49379355929896845,0.5783605665017446,0.6634135909872952,0.8745394986245716,0.0,0.06521739130434782,0.13043478260869565,0.1956521739130435,0.2826086956521739,0.34782608695652173,0.4782608695652174,0.0,0.0,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.42857142857142855,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.1,0.4,0.7,0.2602047781590785,0.26580204778330846,0.2692150170584368,0.2731740614289781,0.2776791808867938,0.2824573378801106,0.5518088737095531,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.03292668872754806,0.038688859254868965,0.16874927972868378,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.017363874459187658,0.034727748918375316,0.19642882981956036
data/qps_200000//linux.mcd.dmesg.0_3_400_0x1b00_135_200000,0.0183409674953587,0.0004125517187083,270.2,116.3,37.4,87.6,111.2,270.6,426.4,447.0,485.4,linux,400,6912,135,3,0,0.24099085483501945,0.32931326066057437,0.3803924882791289,0.44076794546540976,0.5150805501876449,0.6448531870172735,1.0,0.27775060127426615,0.36423575415216525,0.4158274332246557,0.4765252591798015,0.5461656669388314,0.6188304924085304,0.8296267317665074,0.20263992146360046,0.26133155481401016,0.29830349183122806,0.3436339244134245,0.39638414827735685,0.4540230696956021,0.6007558707123524,0.20995946615861652,0.2950124906441672,0.34798837446659586,0.4145727422067127,0.4971956802783905,0.6058205429785081,0.9122544397678778,0.0,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.15217391304347827,0.0,0.0,0.047619047619047616,0.14285714285714285,0.2857142857142857,0.38095238095238093,0.5714285714285714,0.0,0.0,0.0,0.2,0.4,0.6,1.0,0.0,0.0,0.1,0.3,0.5,0.6,0.8,0.3513993174004434,0.3761092150142129,0.39030716723454995,0.40778156996226433,0.4338225255880467,0.8046416382156395,0.8480546074953574,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.6923076923076923,1.0,0.030668466658983713,0.08506061254616581,0.13801770358297227,0.20935886249265973,0.31252915383897695,0.4491749120583014,0.9203009499349681,0.0,0.08333333333333333,0.25,0.4166666666666667,0.5555555555555556,0.6666666666666666,0.9722222222222222,0.0,0.032557264610976855,0.08844723552648713,0.16839340751566362,0.281801212577233,0.43680996686393947,0.9468737791025769
data/qps_200000//linux.mcd.dmesg.0_0_10_0x1300_135_200000,0.0013484354472321,3.761819204508929e-05,58.5,7.9,41.1,50.2,50.9,56.9,68.9,73.8,86.0,linux,10,4864,135,0,0,0.27840709932277274,0.3812173804331331,0.44158701162580444,0.5139979434927968,0.5927420731188242,0.6844048295156624,0.9237668050785665,0.3094282591166094,0.4233743801796223,0.4888083640233831,0.5654833353138259,0.6432774170658717,0.7168835098618026,0.850557206038653,0.279157642093805,0.38192562388827056,0.4409865428841011,0.5101594446538715,0.580348501555337,0.646745564916575,0.7673458300587115,0.18322851560601489,0.2663374709604672,0.31931335478289596,0.3849256879574636,0.45831429765642445,0.5370490974659057,0.765477220369956,0.08695652173913043,0.2608695652173913,0.391304347826087,0.5,0.6086956521739131,0.6956521739130435,0.8260869565217391,0.0,0.0,0.0,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.30593856655157936,0.31290102388586116,0.3169965870241516,0.32191126280149257,0.32696245733844714,0.33269624573042716,0.6526962457264569,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.018109678800151432,0.03484741223665502,0.048292476800403814,0.2030479138198797,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.01790649553603727,0.04901677060874849,0.22157027304692584
data/qps_200000//linux.mcd.dmesg.0_11_10_0x1300_135_200000,0.0013326841345866,3.7144445848689045e-05,58.5,7.9,41.1,50.2,50.9,56.9,68.9,73.8,86.0,linux,10,4864,135,11,0,0.27332743605697846,0.37329635952165435,0.43613216807977845,0.5068463649843801,0.5828697555947701,0.6597351050933852,0.861313250242327,0.31411495347952495,0.42864186250864766,0.4988555974973766,0.5759916235015708,0.6568525956642981,0.7305880584971178,0.8600876967634575,0.2833777839242771,0.38669659615293583,0.45004519411908894,0.519664212775945,0.5925950297126239,0.6591005242616952,0.7759157354596256,0.21044548344139108,0.3027887671685604,0.36256889294983313,0.4364435199315686,0.5171223888721481,0.5997453269438259,0.8192647530546175,0.08695652173913043,0.2608695652173913,0.3695652173913043,0.5,0.5869565217391305,0.6739130434782609,0.8043478260869565,0.0,0.0,0.0,0.047619047619047616,0.19047619047619047,0.2857142857142857,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.2,0.5,0.9,0.30730375425438927,0.31358361773275006,0.31754266211142695,0.3220477815692427,0.32709897610619726,0.3329692832740649,0.6526812286620042,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.018109678800151432,0.03484741223665502,0.049115644018592516,0.2038710810380684,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.01790649553603727,0.0495593916855981,0.22337900996975787
data/qps_200000//linux.mcd.dmesg.0_12_10_0x1700_135_200000,0.001585473012694,3.7721910121883545e-05,53.9,5.9,37.4,46.3,47.5,53.1,61.6,65.4,74.6,linux,10,5888,135,12,0,0.2785099109747051,0.38340740570149545,0.4491827364705691,0.5278322793768188,0.613324965835688,0.7150607966422536,0.9703303393209457,0.3128505972279733,0.43155357393962435,0.5019803230740324,0.585072106029325,0.6692179348844995,0.7484033861419722,0.9051578536031014,0.2331600169227006,0.3216527540158575,0.3741309705000252,0.43606686499040725,0.4987958561689415,0.5578072066217625,0.6746308444720044,0.1890607229993098,0.27411374748486045,0.329519717721162,0.39707612002682796,0.4762969371190838,0.5574618233424378,0.7800577388531933,0.06521739130434782,0.2826086956521739,0.41304347826086957,0.5434782608695652,0.6521739130434783,0.7391304347826086,0.8913043478260869,0.0,0.0,0.0,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.2,0.4,0.9,0.35877133105424863,0.3669624573471044,0.3717406142753289,0.3774744027324014,0.38334470986772273,0.39058020476191446,0.7646361775075329,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.018109678800151432,0.03484741223665502,0.04774369865494468,0.20332230289260925,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.01790649553603727,0.0493785179933149,0.2360401684295822
data/qps_200000//linux.mcd.dmesg.0_0_50_0x1300_135_200000,0.0021759157857791,6.2010461706385e-05,75.5,16.5,41.1,52.0,54.6,74.6,98.9,104.0,113.7,linux,50,4864,135,0,0,0.24868918570841267,0.3463902760465437,0.4004907954098846,0.46330083251392434,0.5283902039413051,0.5962246464752806,0.8183677265725469,0.2707684870089962,0.3809049333953237,0.43968028228650463,0.5057688879151372,0.5742759071559642,0.6358802993377572,0.7460023230795699,0.2443890268133598,0.34381361038183395,0.39681787302869004,0.45652008504970615,0.5182793916056169,0.5739169830998532,0.6730075986098005,0.17545223908162166,0.26050526356717235,0.31348114738960103,0.3786074632813941,0.4534541248286787,0.5380211320314549,0.7829738425498407,0.0,0.06521739130434782,0.13043478260869565,0.21739130434782608,0.30434782608695654,0.41304347826086957,0.5434782608695652,0.047619047619047616,0.19047619047619047,0.3333333333333333,0.47619047619047616,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.29965870308046044,0.3062798634668881,0.3103071672416449,0.31522184301084843,0.3204095563318271,0.326143344691261,0.6407986347870609,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.0,0.0,0.0,0.033201077800277624,0.050213200309510785,0.08643255790981365,0.29524264225701424,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.0,0.0,0.0,0.016278632305488427,0.035270369995224926,0.0871811196805047,0.32448740395606934
data/qps_200000//linux.mcd.dmesg.0_5_200_0xf00_135_200000,0.0059396698742906,0.0002052361137022,173.9,57.2,45.3,81.2,95.4,175.4,249.2,265.0,289.4,linux,200,3840,135,5,0,0.21475726922930874,0.2923201203910735,0.3377040622802829,0.39259451783597094,0.45481510146893167,0.5315251368320276,0.8029352863708901,0.24403097168565932,0.3181284754280825,0.36283903489388564,0.4141175003956465,0.46940755759730046,0.5237768789566435,0.6373118064483705,0.2818544186762374,0.3682211609597164,0.41961010871125015,0.4788259294039854,0.5416385674988482,0.6031363999903838,0.7319869773523808,0.18065748418013736,0.255159073456652,0.3052188535824333,0.3645129620809314,0.4340134335176957,0.5117761987616277,0.7171573821165085,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.0,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.38095238095238093,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.2,0.4,0.6,0.8,0.0,0.0,0.0,0.1,0.4,0.5,0.7,0.2431399317386832,0.25201365187436015,0.25597269624083174,0.26034129692276076,0.264573378832871,0.2685324232034113,0.5268259385610956,0.0,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.6153846153846154,0.0,0.03265229965481849,0.06283509765507088,0.10371906949177638,0.16655416714684726,0.2546330594930383,0.6205418635408235,0.0,0.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.0,0.0,0.032919011995543264,0.0725303506055651,0.14686943813396225,0.2548510324270355,0.630706564991535
data/qps_200000//linux.mcd.dmesg.0_11_2_0xf00_135_200000,0.0008208064008266,2.697952678851333e-05,63.6,12.8,41.1,50.6,51.8,59.8,79.3,87.7,109.4,linux,2,3840,135,11,0,0.25782475493471935,0.35684005234895144,0.4133905733778411,0.48104886528150576,0.5522918567825462,0.6233401915559281,0.8518041320140002,0.2962821813027336,0.4111060955973216,0.4738746012292413,0.5454087492041426,0.618289010667096,0.6812454805884322,0.7978275839286398,0.33855314875494974,0.4697982585083785,0.5415239402431387,0.6232624676658198,0.7065624041933005,0.7784863601000988,0.9117117331467579,0.23163583697036258,0.3411841325077518,0.4067964656823195,0.48601728277457523,0.571070307260126,0.6532072280490292,0.8597645732282272,0.0,0.06521739130434782,0.13043478260869565,0.1956521739130435,0.2826086956521739,0.34782608695652173,0.4782608695652174,0.0,0.0,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.4,0.7,0.2603412969268295,0.26580204778330846,0.2690784982906867,0.2731740614289781,0.2776791808867938,0.28259385664786074,0.5529010238808493,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.0,0.03292668872754806,0.038688859254868965,0.16847489065595422,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.017363874459187658,0.0343660015338089,0.19588620874271076
data/qps_200000//linux.mcd.dmesg.0_9_10_0x1700_135_200000,0.001562476551998,3.694386954916065e-05,53.9,5.9,37.4,46.3,47.5,53.1,61.6,65.4,74.6,linux,10,5888,135,9,0,0.2629381952552285,0.3695462017057686,0.43504956138493045,0.5100883590753146,0.5896892524674452,0.6705252565047902,0.8989398473699338,0.30443824099634587,0.4283416979972409,0.5013275086380974,0.585344654248979,0.6720872820564,0.7515896700234119,0.9131208305951088,0.22688761349027728,0.31925859338849816,0.3736352850699301,0.4362775312981977,0.5009273035183505,0.5601617124147142,0.680543875967609,0.2138476044208131,0.3086209745618553,0.37228923860532465,0.44859395200093294,0.5341329937692582,0.6230741565170055,0.9078802842229066,0.08695652173913043,0.2826086956521739,0.391304347826087,0.5217391304347826,0.6304347826086957,0.717391304347826,0.8695652173913043,0.0,0.0,0.0,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.2,0.4,0.9,0.3609556314033502,0.36901023888777224,0.37378839594618063,0.379658703081502,0.3859385665770306,0.3938566552530197,0.7705119453951907,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.018109678800151432,0.03484741223665502,0.04884125494586295,0.20332230289260925,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.01790649553603727,0.0493785179933149,0.23449188962362782
data/qps_200000//linux.mcd.dmesg.0_11_30_0x1100_135_200000,0.0015390452604035,4.6684210735650287e-05,66.9,11.5,41.1,51.8,54.1,64.8,82.3,87.4,101.3,linux,30,4352,135,11,0,0.2570954227841312,0.35966010742035553,0.41621857921699457,0.48280351747448513,0.55027400676062,0.6177488826772373,0.8383535166314294,0.2954542998193943,0.40835184040570993,0.4733591453124953,0.5463073630954685,0.6181690026976993,0.6824867678381559,0.7975090856696186,0.2979282579606461,0.41176836520714577,0.47733267704582394,0.5508552184646789,0.6233368204803341,0.688169996309622,0.8041390724783801,0.20049184949016777,0.2901523178164214,0.35041846088046874,0.41943291503445845,0.49573762843006675,0.5739864109567734,0.8126208967990898,0.08695652173913043,0.2391304347826087,0.32608695652173914,0.41304347826086957,0.5,0.5652173913043478,0.6739130434782609,0.0,0.0,0.0,0.09523809523809523,0.23809523809523808,0.3333333333333333,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.28245733783942784,0.2886006825916151,0.29201365182606154,0.2959726962291481,0.3004778156706907,0.30525597272910004,0.5987713310573732,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.0,0.0,0.0,0.03045718707298195,0.037042524818491566,0.06832287910966221,0.24502944194750345,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.016278632305488427,0.020257853535718934,0.06439103445282089,0.2637138433489125
