fname,instructions_1,instructions_10,instructions_25,instructions_50,instructions_75,instructions_90,instructions_99,cycles_1,cycles_10,cycles_25,cycles_50,cycles_75,cycles_90,cycles_99,ref_cycles_1,ref_cycles_10,ref_cycles_25,ref_cycles_50,ref_cycles_75,ref_cycles_90,ref_cycles_99,llc_miss_1,llc_miss_10,llc_miss_25,llc_miss_50,llc_miss_75,llc_miss_90,llc_miss_99,c1_1,c1_10,c1_25,c1_50,c1_75,c1_90,c1_99,c1e_1,c1e_10,c1e_25,c1e_50,c1e_75,c1e_90,c1e_99,c3_1,c3_10,c3_25,c3_50,c3_75,c3_90,c3_99,c6_1,c6_10,c6_25,c6_50,c6_75,c6_90,c6_99,c7_1,c7_10,c7_25,c7_50,c7_75,c7_90,c7_99,joules_1,joules_10,joules_25,joules_50,joules_75,joules_90,joules_99,rx_desc_1,rx_desc_10,rx_desc_25,rx_desc_50,rx_desc_75,rx_desc_90,rx_desc_99,rx_bytes_1,rx_bytes_10,rx_bytes_25,rx_bytes_50,rx_bytes_75,rx_bytes_90,rx_bytes_99,tx_desc_1,tx_desc_10,tx_desc_25,tx_desc_50,tx_desc_75,tx_desc_90,tx_desc_99,tx_bytes_1,tx_bytes_10,tx_bytes_25,tx_bytes_50,tx_bytes_75,tx_bytes_90,tx_bytes_99,joules_per_interrupt,time_per_interrupt,read_avg,read_std,read_min,read_5th,read_10th,read_50th,read_90th,read_95th,read_99th,sys,itr,dvfs,rapl,core,exp
data/qps_200000//linux.mcd.dmesg.0_4_250_0x1700_135_200000,148756.82,204059.0,238406.0,279020.0,322418.0,366891.8,528686.3200000001,329440.14,435379.4,499786.0,575189.0,656744.5,735075.6,904692.88,460319.9,602521.4,692665.0,795702.0,903915.5,1010267.2,1216454.88,324.0,477.0,576.0,701.0,846.0,1008.0,1479.1800000000003,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,1.0,2.0,4.0,7.0,9.0,12.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,8.0,0.0348843600004329,0.0366697799981921,0.037661679998564,0.0388214400009019,0.0399506800022209,0.0408968000047025,0.0794893399956345,0.0,1.0,2.0,3.0,5.0,6.0,10.0,0.0,135.0,275.0,488.0,751.0,1136.0,2595.0,0.0,3.0,6.0,9.0,12.0,18.0,26.0,0.0,96.0,276.0,554.0,1033.0,1706.0,3881.240000000005,0.0098717345945669,0.0002561503215457,190.7,72.7,41.1,75.9,90.8,191.8,288.3,301.3,330.4,linux,250,5888,135,4,0
data/qps_200000//linux.mcd.dmesg.0_12_250_0x1700_135_200000,152981.55,206159.2,238944.0,277885.5,321680.75,364602.3000000001,521411.3299999996,338852.3,439701.5,502643.5,575792.5,656759.25,734985.5,902047.7299999996,467509.0,606593.0,690917.75,792077.0,901182.25,1003507.3,1217618.65,330.0,474.0,571.0,695.0,839.0,1005.0,1496.369999999999,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,1.0,2.0,4.0,6.0,9.0,12.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,8.0,0.0348843600004329,0.0366697799981921,0.037661679998564,0.0388214400009019,0.0399506800022209,0.0408968000047025,0.0794339461984054,0.0,1.0,2.0,4.0,5.0,6.0,10.0,0.0,143.0,297.0,496.0,757.0,1143.0,2653.0,0.0,3.0,6.0,9.0,12.0,18.0,25.0,0.0,96.0,276.0,552.0,1024.0,1686.0,4008.0800000000017,0.0098697120348815,0.0002561025319935,190.7,72.7,41.1,75.9,90.8,191.8,288.3,301.3,330.4,linux,250,5888,135,12,0
data/qps_200000//linux.mcd.dmesg.0_14_30_0x1b00_135_200000,196778.36,272735.3,318040.75,370103.0,425891.5,485385.50000000006,655823.7900000007,426844.54,586519.2,682039.25,789075.0,901388.75,1004189.7,1202198.5300000005,458411.7,629967.0,732489.25,847438.0,968143.25,1078539.0,1291182.0800000003,400.53,575.0,688.0,822.0,974.0,1134.0,1657.4700000000012,2.0,11.0,16.0,21.0,26.0,30.0,37.0,0.0,0.0,2.0,5.0,7.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0469092400016961,0.0480232199988677,0.0486794000025838,0.0494576599958236,0.0502817000015056,0.0511362600009306,0.100075080001261,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,112.0,135.0,247.0,879.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,90.0,119.0,362.0,1468.0,0.0023242526983062,4.721056222836514e-05,56.8,9.5,34.0,45.2,46.2,54.6,71.2,75.0,80.0,linux,30,6912,135,14,0
data/qps_200000//linux.mcd.dmesg.0_8_2_0x1b00_135_200000,206762.92,287725.2,340219.0,399811.0,464689.0,534259.0,691619.9199999999,447054.12,625596.0,734921.0,855266.0,982481.0,1103579.0,1317219.7599999998,480110.08,671872.0,789264.0,918517.0,1055194.0,1185305.4,1414744.12,401.0,595.0,718.0,864.0,1024.0,1194.0,1622.0,3.0,12.0,17.0,23.0,29.0,34.0,41.0,0.0,0.0,1.0,3.0,5.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,0.0474585999982082,0.0485725799953797,0.0492287599990959,0.0499764999985927,0.0507852800001273,0.0516703600005712,0.1012043199973413,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,119.0,139.0,591.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,90.0,179.0,1031.0,0.0012893044995427,2.590432151014653e-05,48.6,5.2,34.0,41.7,42.4,47.6,56.3,59.2,65.9,linux,2,6912,135,8,0
data/qps_200000//linux.mcd.dmesg.0_11_300_0x1b00_135_200000,184733.7,249473.8,287587.5,335166.0,391544.5,482145.79999999993,720825.44,407581.78,532205.2000000001,605323.5,689917.0,788194.5,886973.6,1144242.2399999993,497071.02,643278.0,732003.5,842450.0,964917.0,1086119.6,1367490.3599999973,454.0,633.0,748.0,898.0,1082.0,1300.0,1885.079999999998,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,1.0,2.0,4.0,7.0,10.0,14.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,9.0,0.0406596596023882,0.0430484600001364,0.0445286799949826,0.0463141000000177,0.0489082999993115,0.091376880001917,0.0958328000051551,0.0,2.0,3.0,4.0,5.0,7.0,10.0,0.0,189.0,350.0,551.0,852.0,1275.0,2841.389999999992,0.0,2.0,6.0,12.0,15.0,20.0,29.0,0.0,66.0,290.0,635.0,1172.0,1918.300000000003,4384.389999999992,0.0139918880552807,0.000309155156921,216.1,87.1,41.1,77.8,96.7,217.2,332.8,353.3,382.3,linux,300,6912,135,11,0
data/qps_200000//linux.mcd.dmesg.0_12_50_0x1b00_135_200000,192875.8,260607.5,300796.0,347238.0,396100.5,445021.5,554813.2999999993,416947.65,560256.5,644958.75,742482.0,844293.75,944548.0,1120187.8499999994,453902.2,609362.5,701154.75,805881.0,914892.0,1020191.0,1206595.7499999995,411.0,585.0,697.0,834.0,985.0,1149.0,1656.2499999999964,0.0,2.0,5.0,9.0,14.0,19.0,27.0,2.0,7.0,9.0,13.0,15.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0459478599987051,0.0473060000003897,0.0480079599983582,0.0487709600020025,0.0495644799993897,0.0504037799983052,0.0990381630028423,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,122.0,189.0,324.0,1075.0,0.0,0.0,0.0,3.0,3.0,6.0,9.0,0.0,0.0,0.0,90.0,197.0,493.0,1813.0,0.0029692738842302,6.11849561183682e-05,68.4,16.2,37.4,46.5,48.3,66.8,91.5,95.5,104.9,linux,50,6912,135,12,0
data/qps_200000//linux.mcd.dmesg.0_8_40_0x1d00_135_200000,197584.7,268552.4,312461.5,363842.0,420972.0,486525.4,688766.7799999993,428884.5,584475.8,674796.5,781040.0,889755.5,992091.2,1187461.6,429792.18,585011.2000000001,675091.0,781405.0,890097.0,992345.2,1187353.96,413.38,585.0,698.0,834.0,987.0,1149.0,1592.619999999999,1.0,6.0,10.0,15.0,20.0,25.0,32.0,0.0,4.0,6.0,9.0,12.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0508521188009763,0.0520365999982459,0.0526775199978146,0.0534710399952018,0.0542493000029935,0.0551954199981992,0.1084528200008208,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,117.0,145.0,271.0,972.429999999993,0.0,0.0,0.0,3.0,3.0,6.0,9.0,0.0,0.0,0.0,90.0,166.0,419.0,1660.0,0.002916203068079,5.479990301261213e-05,60.9,12.9,34.0,43.8,45.9,58.7,79.1,83.4,88.1,linux,40,7424,135,8,0
data/qps_200000//linux.mcd.dmesg.0_4_250_0xf00_135_200000,149446.93999999997,203118.3,235398.0,272536.0,313990.5,358625.3,523437.5100000001,316081.93,413922.3,470904.25,536940.0,609884.0,679476.5,821063.3999999999,622084.51,809488.6,923867.5,1052192.5,1194256.25,1327985.4,1601898.52,310.0,460.0,553.0,666.0,797.0,950.0,1393.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,1.0,2.0,3.0,6.0,8.0,11.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,7.0,0.0269491599992761,0.0278647600007388,0.0283072999991418,0.0288108799995825,0.0293449799992231,0.0298790800006827,0.0584915799992631,0.0,1.0,2.0,4.0,5.0,6.0,10.0,0.0,138.0,284.0,493.0,752.0,1138.0,2665.0899999999965,0.0,3.0,6.0,9.0,12.0,18.0,25.0,0.0,96.0,276.0,548.0,1011.0,1677.0,3920.089999999997,0.0073448723754033,0.0002560955555472,202.8,71.6,45.3,88.9,105.6,203.9,297.8,315.8,339.3,linux,250,3840,135,4,0
data/qps_200000//linux.mcd.dmesg.0_6_40_0x1d00_135_200000,196631.0,266842.0,311414.0,362769.0,420625.0,494166.0,691454.5999999997,424999.6,576663.0,669359.0,773120.0,882360.0,988304.0,1197803.1999999993,425981.0,577390.0,669784.0,773633.0,882731.0,988291.0,1197728.9999999995,410.2000000000001,590.0,701.0,839.0,993.0,1157.0,1634.0,1.0,5.0,10.0,15.0,20.0,25.0,33.0,0.0,4.0,6.0,9.0,12.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.050876840003184,0.0520365999982459,0.0526775200050906,0.0534710400024778,0.054264559999865,0.0551954199981992,0.1083612599977641,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,117.0,144.0,269.0,965.0,0.0,0.0,0.0,3.0,3.0,6.0,9.0,0.0,0.0,0.0,90.0,165.0,416.0,1647.0,0.002956486534599,5.555714452918591e-05,60.9,12.9,34.0,43.8,45.9,58.7,79.1,83.4,88.1,linux,40,7424,135,6,0
data/qps_200000//linux.mcd.dmesg.0_7_400_0x1100_135_200000,179219.52000000002,238790.3,275995.75,319850.5,370447.5,443447.0,691284.0199999999,370419.21,475685.7,542866.75,619863.0,706184.0,795946.5,1005923.12,675200.04,848377.6000000001,960117.5,1090690.0,1240924.5,1393948.8,1763091.5399999996,442.69,603.0,711.0,846.0,1010.0,1212.1000000000004,1734.619999999999,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,1.0,3.0,5.0,8.0,11.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,8.0,0.0283178294006211,0.0295586200008983,0.0302758399993763,0.0310846200009109,0.0324274999984481,0.0616656599995621,0.0635731599988866,1.0,3.0,4.0,5.0,7.0,9.0,13.0,115.0,323.0,510.0,772.0,1156.0,1656.7000000000044,3453.350000000013,0.0,6.0,9.0,15.0,21.0,25.0,35.0,0.0,201.0,511.0,949.0,1599.0,2440.0,5265.740000000005,0.0125351180792395,0.0004096895109202,280.1,114.8,45.3,99.7,121.8,281.2,433.4,459.0,488.6,linux,400,4352,135,7,0
