,sys,rnd,msg,itr,dvfs,rapl,joules,time,edp,llcmiss_total,cycles_total,ins_total,num_interrupts
1697,linux,0,65536,60,0x1D00,135,2487165.0,4211553233.0,5237413898377222.0,11104943484015,1232169334353623.0,919462596691753,23628
1698,linux,1,64,80,0x1000,135,1001605.0,2367825009.0,1185812684069722.5,5729739105527,369338005460590.0,196297598420361,9981
1699,linux,3,65536,32,0x1A00,135,2056089.0,3327952780.0,3421283551738710.0,6414426610793,879675279699332.0,620010955320742,34961
1700,linux,3,524288,28,0x1600,135,8032170.0,14224115524.0,5.712525699420354e+16,715299859392149,8.550304812649861e+16,67274299523067222,170833
1701,ebbrt,0,8192,20,0x1500,135,295885.0,733987691.0,108587973975767.5,8788332,9242482744.0,4314076114,12372
1702,ebbrt,0,8192,60,0x1000,135,708604.0,1777929274.0,629923897636748.0,17285011,18279410709.0,9145640646,10000
1703,linux,7,524288,24,0x1100,135,7131847.0,14336792515.0,5.11239053438626e+16,239983763678690,2.9000637656359944e+16,22239825941458631,200927
1704,ebbrt,3,65536,8,0x1600,135,1083606.0,2169732770.0,1175567723984310.0,147304881,185865846792.0,93547944327,74072
1705,ebbrt,8,8192,80,0x1900,135,946191.0,2371860967.0,1122116750113348.5,24519527,25424778250.0,12543801260,10000
1706,linux,6,524288,4,0xC00,135,7230557.0,16595411173.0,5.999703321240668e+16,121594634633181,1.4668003798750452e+16,10898895153467483,491100
1707,ebbrt,4,65536,36,0x1A00,135,1297436.0,2668597760.0,1731167401671680.0,131227097,169708834627.0,166901353109,24991
1708,ebbrt,9,524288,40,0x1A00,135,7137729.0,14199824648.0,5.067725009247219e+16,4383123008,5385326441946.0,4960416646484,118984
1709,linux,7,524288,32,0x1C00,135,9491354.0,14234415795.0,6.7551939646768216e+16,244036532407512,2.9382246918255076e+16,22450455017319095,149193
1710,linux,0,65536,24,0xF00,135,1501276.0,3269316383.0,2454073111102354.0,5080516569539,672073468235763.0,512119495936988,45791
1711,ebbrt,4,64,20,0x1B00,135,239051.0,590838462.0,70620262589781.0,4437952,5962909988.0,2717713626,9988
1712,ebbrt,2,524288,16,0x1D00,135,7721997.0,13763731818.0,5.314174790370027e+16,4985967052,6432883712450.0,4119429874322,274609
1713,linux,8,65536,40,0x1800,135,2044662.0,3703303318.0,3786001784394258.0,29029034298265,3908149590246374.0,2737436630665020,30896
1714,linux,3,8192,20,0xC00,135,507683.0,1213190622.0,307958127274413.0,5621846066348,535425561299021.0,319837306183499,20039
1715,linux,6,8192,80,0xC00,135,964336.0,2377186396.0,1146203210186528.0,23901015711334,2076076396899072.0,1245936171730068,10023
1716,ebbrt,8,524288,40,0x1200,135,6485566.0,14368786728.0,4.6594857332184024e+16,4547620692,5280036672378.0,4904883426149,119585
1717,ebbrt,3,8192,40,0x1B00,135,475201.0,1184827924.0,281515707156362.0,11986834,12276065514.0,6069246232,9999
1718,linux,2,64,32,0x1B00,135,541217.0,908320364.0,245799211221494.0,1804092294075,120429303084794.0,57209549955762,9569
1719,linux,8,524288,12,0xC00,135,7022192.0,16096380273.0,5.651593639100921e+16,349724065515074,4.187692801004613e+16,31787758464458439,354657
1720,ebbrt,8,65536,16,0x1200,135,1018413.0,2327991960.0,1185428637979740.0,118827921,141479275402.0,90912132265,44568
1721,ebbrt,6,8192,36,0x1200,135,425262.0,1065604748.0,226580603171988.0,10818783,11001415013.0,5418415839,10006
1722,ebbrt,4,65536,20,0x1200,135,954544.0,2285385473.0,1090750495469656.0,108186615,125366323425.0,90262707323,36832
1723,linux,4,524288,12,0x1C00,135,9749707.0,13867866870.0,6.7603819348753544e+16,842794699270081,1.0023731472032496e+17,79158977871380681,378959
1724,linux,6,65536,60,0x1B00,135,2302898.0,4054580088.0,4668642187747512.0,20588524119795,2894552898801457.0,1982121475487830,22746
1725,ebbrt,8,64,16,0x1100,135,190535.0,472016759.0,44967856588032.5,3589157,4801889266.0,2155454161,9969
1726,linux,3,65536,8,0x1B00,135,1673274.0,2488746652.0,2082177532689324.0,3626379302068,509931153871702.0,361061769452971,91379
1727,ebbrt,9,65536,12,0x1C00,135,1182993.0,2231208670.0,1319752119074655.0,121573262,154874976313.0,81660385787,55055
1728,ebbrt,6,8192,28,0xF00,135,332374.0,829572327.0,137864136307149.0,8636609,8803680606.0,4336399246,10016
1729,ebbrt,1,8192,80,0x1200,135,944224.0,2371855811.0,1119781590642832.0,22746250,24292798909.0,12329275054,10000
1730,linux,3,8192,28,0x1600,135,508595.0,931365900.0,236844019955250.0,4446409045524,422966058003221.0,252698996999828,11229
1731,linux,5,64,6,0x1C00,135,300527.0,460841296.0,69247626081496.0,2077959864547,131737425648729.0,61411248261727,9994
1732,linux,8,524288,0,0x1700,135,10678489.0,15588905796.0,8.323297953231112e+16,282173373186480,1.1014226418591194e+17,88469099649986404,913414
1733,linux,8,8192,60,0x1600,135,1145689.0,2334301738.0,1337191911953741.0,31522397865942,2687081137483753.0,1595683842233074,13014
1734,linux,3,64,60,0xC00,135,363168.0,890570967.0,161713438471728.0,3931666659541,274714462024980.0,148289020866888,5016
1735,ebbrt,9,65536,20,0x1000,135,964571.0,2301563760.0,1110010828773480.0,108040168,124359586831.0,89579350690,36735
1736,linux,4,65536,4,0x1600,135,1610170.0,2820674085.0,2270882395722225.0,7089344191528,953077212737792.0,657961176929372,99068
