sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END QPS_reported
ebbrt 0 50 0x1c00 95 200074.8 20.0 2317.68 81940703877 329778239323 11798974215 313811886 29551 0 21049070 48.5 54.2 85.6 171.9 201.9 270.3 7268417534304 7326421909461
ebbrt 1 50 0x1c00 95 200132.5 20.0 2322.59 83433204971 334608339398 11922168758 325940812 133081 0 2280328 48.8 54.5 86.1 173.2 202.7 275.5 7511332875850 7569334703518
ebbrt 0 50 0x1c00 75 200061.3 20.0 2320.27 86004300239 333047124171 11851851083 332034855 167011 0 5388461 48.7 54.3 85.4 170.9 200.6 270.3 7997149182068 8055150925218
ebbrt 1 50 0x1c00 75 200022.0 20.0 2317.44 93486423145 333711683319 11878044876 379240800 57884 0 5323008 48.2 53.7 85.3 171.3 201.6 269.9 8240279325162 8298280990964
ebbrt 0 50 0x1c00 55 199765.8 20.0 2084.21 92224471450 327404579371 12943000310 373665826 8149058 0 304575632 50.4 56.4 91.6 207.0 279.5 3964.5 8725976233168 8783978718647
ebbrt 1 50 0x1c00 55 200151.1 20.0 2052.75 92990551767 315014890387 12851558149 375807531 31517635 0 948912944 100.2 134.9 360.0 580.9 671.8 4227.4 8968561856622 9026563863831
ebbrt 0 100 0x1c00 135 50106.5 21.46 1861.38 44368210543 101650578253 4158683087 154389436 674946 0 45603631 47.9 53.1 94.7 166.1 193.7 253.1 9432696709165 9494918792782
ebbrt 1 100 0x1c00 135 49952.8 20.0 1807.67 44214493205 88858866534 3562275334 147956910 5416910 0 110442295 120.1 179.2 607.8 1005.3 1045.6 1138.2 9667958127478 9725961506098
ebbrt 0 100 0x1c00 95 50017.1 20.0 1864.12 43975753837 101004147979 4134304794 156549349 1546976 0 7155315 48.9 54.0 95.9 167.1 194.6 254.0 10123449512746 10181451174146
ebbrt 1 100 0x1c00 95 50102.2 20.0 1864.2 43637233437 101470299951 4151977162 158510535 552276 0 16829947 48.1 53.4 94.9 165.9 193.5 254.9 10354676146782 10412679271506
ebbrt 0 100 0x1c00 75 50138.8 20.0 1865.06 46896361035 101455738104 4150627685 149899917 180148 0 5875081 48.0 53.2 94.1 165.6 192.5 253.1 10816712559426 10874714231606
ebbrt 1 100 0x1c00 75 50009.1 20.0 1862.17 46810389404 100754946289 4125682177 149113081 1957442 0 6632329 48.0 53.1 94.7 165.8 192.9 249.4 11047784401734 11105786247138
ebbrt 0 100 0x1c00 55 0 10.01 472.76 8411195 31651028 1319670 74653 33222487 0 324637059411 0 0 0 0 0 0 11509741085870 11538772209954
ebbrt 1 100 0x1c00 55 0 10.01 339.87 12826031 42997082 1759144 95947 0 0 216435592004 0 0 0 0 0 0 11703469672816 11732498662709
ebbrt 0 100 0x1c00 135 0 10.01 339.55 13086000 47631273 2076838 104450 0 0 313455012486 0 0 0 0 0 0 12091135248700 12120163703958
ebbrt 1 100 0x1c00 135 0 10.01 428.32 13072506 45713994 1911640 102904 103737785 0 285420554378 0 0 0 0 0 0 12284852264162 12313881553473
ebbrt 0 100 0x1c00 95 0 10.01 428.87 11315383 37128095 1521005 77068 66863589 0 335739192805 0 0 0 0 0 0 12672707691804 12701737974152
ebbrt 1 100 0x1c00 95 0 10.01 493.69 11404280 34989979 1435080 66456 0 0 265990201651 0 0 0 0 0 0 12866328614858 12895360114132
ebbrt 0 100 0x1c00 75 0 10.01 358.48 12067190 42131024 1790755 90127 66261056 0 301116748553 0 0 0 0 0 0 13253957794753 13282987413298
ebbrt 1 100 0x1c00 75 0 10.01 421.8 12007783 36523698 1453815 72135 33180292 0 363957025917 0 0 0 0 0 0 13447612945310 13476644467714
ebbrt 0 100 0x1c00 55 0 10.01 463.05 12314902 47054605 2005697 112020 0 0 356876798616 0 0 0 0 0 0 13835223141282 13864254291412
ebbrt 1 100 0x1c00 55 0 10.01 432.26 11607253 46773248 2003688 111545 66546039 0 323592325363 0 0 0 0 0 0 14028997019542 14058027298482
ebbrt 0 100 0x1c00 135 0 10.01 338.88 10098913 39953938 1797606 93700 0 0 293996422256 0 0 0 0 0 0 14416709130806 14445738522809
ebbrt 1 100 0x1c00 135 0 10.01 431.01 11472784 45362249 2036886 109196 0 0 208298536147 0 0 0 0 0 0 14610448528573 14639476685205
ebbrt 0 100 0x1c00 95 0 10.01 338.36 10713727 37530892 1592053 82619 0 0 343007615548 0 0 0 0 0 0 14998055925558 15027086701437
ebbrt 1 100 0x1c00 95 0 10.01 441.33 11054367 46383186 2053215 116897 0 0 385217896344 0 0 0 0 0 0 15191944620652 15220975781906
ebbrt 0 100 0x1c00 75 0 10.01 414.61 10202493 36877123 1571867 84927 33247746 0 254427215192 0 0 0 0 0 0 15579986956922 15609017506329
ebbrt 1 100 0x1c00 75 0 11.46 318.36 15354673 53111815 2186990 120371 0 0 295264936254 0 0 0 0 0 0 15769695974282 15802929729958
ebbrt 0 100 0x1c00 55 0 10.01 473.3 10054742 41361762 1819476 103620 0 0 348630178410 0 0 0 0 0 0 16161503373194 16190533837517
ebbrt 1 100 0x1c00 55 0 10.01 389.81 9349643 36639620 1638557 89735 0 0 220963144359 0 0 0 0 0 0 16355275040190 16384303810322
ebbrt 0 200 0x1c00 135 0 10.01 363.71 9802937 33323787 1454717 72861 65792155 0 281585996086 0 0 0 0 0 0 16742855268595 16771884705764
ebbrt 1 200 0x1c00 135 0 10.01 433.97 8873380 32407106 1423417 76002 66332918 0 347438792667 0 0 0 0 0 0 16936831010408 16965860878822
ebbrt 0 200 0x1c00 95 0 10.01 421.77 9181633 32091459 1418834 74472 33451065 0 18446727031084090021 0 0 0 0 0 0 17324418301260 17353447357350
ebbrt 1 200 0x1c00 95 0 10.01 278.15 8790967 38187914 1779741 102491 0 0 320933114770 0 0 0 0 0 0 17518088638308 17547121756922
ebbrt 0 200 0x1c00 75 0 10.01 414.84 8535605 30396279 1364964 71092 0 0 318583785649 0 0 0 0 0 0 17906036755652 17935068035414
ebbrt 1 200 0x1c00 75 0 10.01 416.18 8306688 36534467 1722227 100242 33123713 0 373931804031 0 0 0 0 0 0 18099736876964 18128768689326
ebbrt 0 200 0x1c00 55 0 10.01 340.83 7713775 32343259 1489482 84137 0 0 373967090303 0 0 0 0 0 0 18487500014892 18516529262998
ebbrt 1 200 0x1c00 55 0 10.01 505.3 8121323 34609438 1622491 95689 33185164 0 329241636897 0 0 0 0 0 0 18681340711082 18710371790121
ebbrt 0 200 0x1c00 135 0 10.01 468.91 7604973 32831752 1573976 88438 0 0 279945554594 0 0 0 0 0 0 19068752052137 19097781525461
ebbrt 1 200 0x1c00 135 0 10.01 412.53 7865869 32795181 1508036 88319 99437491 0 36893449923336043875 0 0 0 0 0 0 19262825877526 19291856193122
ebbrt 0 200 0x1c00 95 0 10.01 416.08 7792298 35350428 1610125 97550 0 0 373052026362 0 0 0 0 0 0 19650426425702 19679454525040
ebbrt 1 200 0x1c00 95 0 10.01 368.97 6340230 26832907 1182946 74480 0 0 18446724525135320854 0 0 0 0 0 0 19844269084604 19873302754422
ebbrt 0 200 0x1c00 75 0 10.01 418.82 11138043 44925575 2084088 111723 0 0 349844310419 0 0 0 0 0 0 20231862702066 20260895218190
ebbrt 0 200 0x1c00 55 0 10.01 300.96 15925561 49372690 2088237 100031 0 0 18446723565038000620 0 0 0 0 0 0 20813124147338 20842156245402
ebbrt 1 200 0x1c00 55 0 10.01 339.75 16104980 53498824 2316115 113921 0 0 322698397434 0 0 0 0 0 0 21007134766214 21036164221601
ebbrt 0 200 0x1c00 135 0 10.01 357.73 15369753 50816742 2204666 107536 132948267 0 318423474809 0 0 0 0 0 0 21395156882496 21424185884046
ebbrt 1 200 0x1c00 135 0 10.01 441.71 14913804 54185714 2361433 124703 66245077 0 317073802745 0 0 0 0 0 0 21589168146256 21618199552305
ebbrt 0 200 0x1c00 95 0 10.01 392.34 14164811 45354660 1905807 91927 0 0 326604872362 0 0 0 0 0 0 21976866867834 22005896328161
ebbrt 1 200 0x1c00 95 0 10.01 453.93 15364038 51235995 2243947 108327 131789862 0 18446722113868123162 0 0 0 0 0 0 22170824082232 22199854864160
ebbrt 0 200 0x1c00 75 0 10.01 419.49 14868314 43063049 1753595 78974 66320390 0 382430436296 0 0 0 0 0 0 22558275115982 22587305471657
ebbrt 1 200 0x1c00 75 0 10.01 340.42 14613431 52325927 2324301 119474 0 0 306528079388 0 0 0 0 0 0 22752102244366 22781133384491
ebbrt 0 200 0x1c00 55 0 10.01 428.94 14211592 52231650 2343688 120947 66354320 0 290226005149 0 0 0 0 0 0 23139808946692 23168838870572
ebbrt 1 200 0x1c00 55 0 10.01 411.9 13784986 41130902 1664396 80979 0 0 352399577820 0 0 0 0 0 0 23333525866952 23362556873336
ebbrt 0 300 0x1c00 135 0 10.01 415.68 12692074 43197538 1910990 95538 0 0 276915270905 0 0 0 0 0 0 23721168741247 23750198557722
ebbrt 1 300 0x1c00 135 0 10.01 392.8 13521352 48060274 2161058 108061 33342837 0 331523530433 0 0 0 0 0 0 23914912999156 23943942548401
ebbrt 0 300 0x1c00 95 0 10.01 366.14 12342659 41524688 1820632 88698 99345590 0 274049953368 0 0 0 0 0 0 24302854424162 24331885913228
ebbrt 1 300 0x1c00 95 0 10.01 347.6 12735159 46110759 2033138 105368 99097756 0 272276539162 0 0 0 0 0 0 24496578090422 24525609564765
ebbrt 0 300 0x1c00 75 0 10.01 463.57 13121557 44918065 2028014 99816 0 0 369377903320 0 0 0 0 0 0 24884111009782 24913141198846
