sys i itr dvfs rapl lat50 lat75 lat90 lat99 requests time joule ins cyc refcyc llcm c3 c6 c7 START_RDTSC END_RDTSC
ebbrt 7 4 0x1700 135 72.0 73.0 75.0 166.0 404122 30.1 799.34 37551682127 67373647357 2936935489 61182434 0 0 145650934 5808720541394 5896011631311
ebbrt 8 4 0x1700 135 72.0 73.0 75.0 165.0 405270 30.1 799.04 37666962503 67399824195 2937795024 61164132 0 0 138046525 5939866278354 6027155816166
ebbrt 9 4 0x1700 135 62.0 63.0 66.0 78.0 461743 0.0 800.37 42792232250 61897998394 2696528258 36133582 280082 0 1749260686 6070766089631 6112786947296
ebbrt 0 4 0x1500 135 78.0 80.0 81.0 89.0 376263 30.1 747.01 34985897609 61965774870 2953036709 56512779 0 0 46887403 6202376370856 6289665148922
ebbrt 1 4 0x1500 135 78.0 80.0 81.0 87.0 380234 0.0 757.63 35358650654 62112355244 2959291098 57630137 0 0 1774283133 6332824428784 6332824202877
ebbrt 2 4 0x1500 135 79.0 80.0 81.0 88.0 378904 30.1 747.15 35305738767 62097204437 2958622112 57318700 0 0 33138155 6463495558108 6550785279320
ebbrt 3 4 0x1500 135 78.0 79.0 81.0 87.0 381790 30.1 747.02 35467914998 62122785952 2959689086 57963188 0 0 32003414 6594331332881 6681622058022
ebbrt 4 4 0x1500 135 78.0 79.0 80.0 88.0 378757 30.1 747.13 35522467442 61976571002 2953378471 57532331 0 0 43822828 6725181875086 6812472382907
ebbrt 5 4 0x1500 135 78.0 79.0 80.0 88.0 379616 30.1 746.98 35525389198 61987865949 2953706179 57823878 0 0 41531364 6855351893598 6942640594693
ebbrt 6 4 0x1500 135 78.0 79.0 81.0 101.0 377455 30.1 747.01 35345278406 61856792053 2948786973 57216812 0 0 65545423 6986166841325 7073457050718
ebbrt 7 4 0x1500 135 78.0 79.0 81.0 88.0 379893 30.1 747.1 35655503706 62038801376 2956051413 57827220 0 0 38294964 7116747762460 7204038970561
ebbrt 8 4 0x1500 135 78.0 79.0 81.0 88.0 379856 30.1 747.26 35454948353 62041602964 2956180749 57473666 0 0 38865626 7247563509289 7334852636922
ebbrt 9 4 0x1500 135 79.0 80.0 81.0 88.0 376853 30.1 747.13 35095890192 62092816701 2958415214 57003190 0 0 34311118 7378486475219 7465778829883
ebbrt 0 4 0x1300 135 85.0 86.0 87.0 93.0 363505 30.1 699.39 34316851743 56518638348 2974842124 54380511 0 0 4579100 7509342051142 7596631188961
ebbrt 1 4 0x1300 135 85.0 86.0 87.0 93.0 366289 30.1 699.4 34426909560 56558822158 2976941617 54061399 0 0 4166343 7639576094445 7726864784537
ebbrt 2 4 0x1300 135 85.0 86.0 87.0 93.0 365797 30.1 699.52 34457797771 56543835014 2976137754 54324247 0 0 3664991 7770090375269 7857380182969
ebbrt 3 4 0x1300 135 86.0 88.0 88.0 94.0 361953 30.1 699.58 34028253859 56583846837 2978192732 53198472 0 0 3164074 7900566822659 7987857163453
ebbrt 4 4 0x1300 135 86.0 87.0 88.0 94.0 360791 30.1 700.26 33755963605 56527014854 2975283837 54199950 0 0 4754405 8031037522733 8118325977729
