sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
linux 2 1 0xffff 55 200080.2 30.0 2110.0 447222170338 494344712765 758106581453 606371576 3828317724 0 1222443970382 51.7 53.8 61.5 78.1 84.8 102.0 8133930807073 8220945070667
linux 3 1 0xffff 55 200229.5 30.0 2081.53 360970097197 454353179193 717608016493 545828531 3408404945 0 1276004018124 51.6 53.6 61.5 78.1 84.6 102.2 8469131124169 8556144862840
linux 4 1 0xffff 55 199986.8 30.01 2069.55 342553446178 441817857875 704394920232 502344458 3284018899 0 1314368892772 51.8 53.9 61.5 78.0 84.3 100.7 8806041623503 8893056937965
linux 0 1 0xffff 55 400085.2 30.01 2992.67 610461419119 793988562525 988153538492 1085178587 4097877306 0 1984702435174 48.8 50.6 59.4 77.4 85.1 109.9 13526299459033 13613314675560
linux 1 1 0xffff 55 399782.6 30.01 3084.96 793990772575 876096540790 1072370805676 1148017935 4780387057 0 1901424317794 49.8 51.0 59.7 77.1 84.4 109.0 13965068475509 14052084810424
linux 2 1 0xffff 55 399845.0 30.01 3120.37 582064008157 783752269616 977988684170 1088768191 3455773487 0 1981087375475 48.8 50.6 59.4 77.0 84.4 110.7 14403415503181 14490431401927
linux 3 1 0xffff 55 399971.6 30.01 2974.7 503030263784 746331544931 939495126343 1050447182 3152425309 0 2001956638863 48.6 50.6 59.4 77.2 84.5 109.1 14841151370759 14928166606078
linux 4 1 0xffff 55 399955.1 30.01 2969.54 678048884926 824665013997 1019472414162 1094846118 4551821092 0 1923878860962 49.9 51.1 59.9 77.8 85.7 114.9 15280933733278 15367949149506
linux 0 1 0xffff 55 600269.1 30.01 3568.8 877351160676 1071884251670 1330863986052 1998043460 4235980932 0 2323905228827 51.7 54.9 71.8 162.2 1669.3 9115.7 20763140073306 20850156134006
linux 1 1 0xffff 55 599905.2 30.01 3423.24 757798293008 1018378079348 1280096692424 1944903938 4404195751 0 2377727830650 51.3 54.4 71.5 182.2 2080.1 9234.7 21263056039135 21350070880148
linux 2 1 0xffff 55 599929.5 30.01 3307.23 851909425732 1054938505057 1315039120878 1962080590 3684783703 0 2350826619578 51.8 54.9 71.9 168.0 1889.4 9079.1 21763725684487 21850741391044
linux 3 1 0xffff 55 599962.1 30.01 3290.12 661291205583 972022684787 1232267449928 1890194321 3745668043 0 2453415935819 52.0 55.1 72.3 171.7 1884.0 9189.0 22264151442340 22351166820640
linux 0 1 0x1d00 135 199984.6 30.0 3421.19 390916020451 485040593407 485304289082 573688265 3528431218 0 1271643289226 42.2 43.5 49.1 57.7 59.8 65.9 56178494321307 56265507922723
linux 1 1 0x1d00 135 200178.6 30.01 3347.63 310353743742 446953330021 447311126487 512274582 2502409507 0 1307158437984 42.8 44.6 49.7 58.3 60.1 66.4 56515667519071 56602682819733
linux 2 1 0x1d00 135 199939.0 30.01 3380.7 312214317546 449367471698 449704764360 522843591 2287124556 0 1311885022907 42.6 44.2 49.4 58.1 60.0 66.3 56853285503033 56940300929614
linux 3 1 0x1d00 135 200033.1 30.01 3374.77 347660072095 463767298099 464200112760 532760862 3215227071 0 1302874397208 42.5 43.9 49.3 58.0 59.9 66.1 57191870044557 57278885093480
linux 4 1 0x1d00 135 199976.2 30.01 3348.91 320173419176 452797286971 453215366958 524741978 2938863306 0 1326579635208 44.2 45.6 50.3 58.7 60.9 67.5 57528881461052 57615896655042
linux 0 1 0x1d00 95 200167.3 30.01 3395.17 323006191784 452452923779 452852611700 514780485 2698513133 0 1316478553017 42.2 43.5 49.1 57.7 59.8 66.0 57867112272617 57954127076432
linux 1 1 0x1d00 95 199919.5 30.01 3412.74 311481236701 448212153369 448611292999 517441125 2356863901 0 1305429317218 42.5 43.9 49.3 57.9 59.9 66.1 58204257962879 58291273716221
linux 2 1 0x1d00 95 199967.3 30.0 3378.71 328488255679 453398510662 453691830868 507921906 2468434035 0 1310988608373 42.5 44.0 49.3 57.9 59.8 65.9 58541942883388 58628957303167
linux 3 1 0x1d00 95 200218.8 30.01 3374.04 297348180737 442025141166 442302664174 505243273 2088483372 0 1326838377355 43.7 45.5 50.1 58.6 60.3 67.3 58878442774457 58965457943115
