i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
105 0 0 3 8588 0 0 0 0 0 0 0 0 7175538931194
106 1 66 0 0 0 0 0 0 0 0 0 0 7175538970294
107 6 8588 0 0 0 0 0 0 0 0 0 0 7175539001866
108 0 0 2 66 0 0 0 0 0 0 0 0 7175539038702
109 0 0 3 8588 0 0 0 0 0 0 0 0 7175539061862
110 0 0 0 0 0 0 0 0 0 0 0 0 7175539094634
111 1 66 0 0 0 0 0 0 0 0 0 0 7175539133730
112 6 8588 0 0 0 0 0 0 0 0 0 0 7175539165378
113 0 0 2 66 0 0 0 0 0 0 0 0 7175539201934
114 0 0 3 8588 0 0 0 0 0 0 0 0 7175539225142
115 0 0 0 0 0 0 0 0 0 0 0 0 7175539260938
116 1 66 0 0 0 0 0 0 0 0 0 0 7175539300134
117 6 8588 0 0 0 0 0 0 0 0 0 0 7175539346206
118 0 0 2 66 0 0 0 0 0 0 0 0 7175539403974
119 0 0 3 8588 0 0 0 0 0 0 0 0 7175539427126
120 0 0 0 0 0 0 0 0 0 0 0 0 7175539459898
121 1 66 0 0 0 0 0 0 0 0 0 0 7175539507806
122 6 8588 0 0 0 0 0 0 0 0 0 0 7175539542474
123 0 0 2 66 0 0 0 0 0 0 0 0 7175539582038
124 0 0 3 8588 0 0 0 0 0 0 0 0 7175539634966
125 1 66 0 0 0 0 0 0 0 0 0 0 7175539661846
126 1 66 0 0 0 0 0 0 0 0 0 0 7175539691994
127 6 8588 0 0 0 0 0 0 0 0 0 0 7175539723862
128 0 0 2 66 0 0 0 0 0 0 0 0 7175539760190
129 0 0 3 8588 0 0 0 0 0 0 0 0 7175539783430
130 0 0 0 0 0 0 0 0 0 0 0 0 7175539816218
131 1 66 0 0 0 0 0 0 0 0 0 0 7175539858230
132 6 8588 0 0 0 0 0 0 0 0 0 0 7175539892434
133 0 0 2 66 0 0 0 0 0 0 0 0 7175539929370
134 0 0 3 8588 0 0 0 0 0 0 0 0 7175539952682
135 0 0 0 0 0 0 0 0 0 0 0 0 7175539985478
136 1 66 0 0 0 0 0 0 0 0 0 0 7175540024562
137 6 8588 0 0 0 0 0 0 0 0 0 0 7175540056114
138 0 0 2 66 0 0 0 0 0 0 0 0 7175540092778
139 0 0 3 8588 0 0 0 0 0 0 0 0 7175540116046
140 0 0 0 0 0 0 0 0 0 0 0 0 7175540151790
141 1 66 0 0 0 0 0 0 0 0 0 0 7175540190710
142 6 8588 0 0 0 0 0 0 0 0 0 0 7175540221958
143 0 0 2 66 0 0 0 0 0 0 0 0 7175540259046
144 0 0 3 8588 0 0 0 0 0 0 0 0 7175540282342
145 0 0 0 0 0 0 0 0 0 0 0 0 7175540315106
146 1 66 0 0 198021695928 438451567056 438677842350 176604410 2657528129 0 6162039515728 3392656083 7175540354314
147 6 8588 0 0 0 0 0 0 0 0 0 0 7175540391638
148 0 0 2 66 0 0 0 0 0 0 0 0 7175540428390
149 0 0 3 8588 0 0 0 0 0 0 0 0 7175540451590
150 0 0 0 0 0 0 0 0 0 0 0 0 7175540487374
151 1 66 0 0 0 0 0 0 0 0 0 0 7175540523458
152 6 8588 0 0 0 0 0 0 0 0 0 0 7175540558218
153 0 0 2 66 0 0 0 0 0 0 0 0 7175540591530
154 0 0 3 8588 0 0 0 0 0 0 0 0 7175540614918
155 0 0 0 0 0 0 0 0 0 0 0 0 7175540647690
156 1 66 0 0 0 0 0 0 0 0 0 0 7175540687630
157 6 8588 0 0 0 0 0 0 0 0 0 0 7175540721386
158 0 0 2 66 0 0 0 0 0 0 0 0 7175540754938
159 0 0 3 8588 0 0 0 0 0 0 0 0 7175540778254
160 0 0 0 0 0 0 0 0 0 0 0 0 7175540813998
161 1 66 0 0 0 0 0 0 0 0 0 0 7175540853046
162 6 8588 0 0 0 0 0 0 0 0 0 0 7175540884138
163 0 0 2 66 0 0 0 0 0 0 0 0 7175540921446
164 0 0 3 8588 0 0 0 0 0 0 0 0 7175540944554
165 0 0 0 0 0 0 0 0 0 0 0 0 7175540977306
166 1 66 0 0 0 0 0 0 0 0 0 0 7175541017490
167 6 8588 0 0 0 0 0 0 0 0 0 0 7175541050398
168 0 0 2 66 0 0 0 0 0 0 0 0 7175541084510
169 0 0 3 8588 0 0 0 0 0 0 0 0 7175541107882
170 0 0 0 0 0 0 0 0 0 0 0 0 7175541140634
171 1 66 0 0 0 0 0 0 0 0 0 0 7175541179546
172 6 8588 0 0 0 0 0 0 0 0 0 0 7175541211038
173 0 0 2 66 0 0 0 0 0 0 0 0 7175541247914
174 0 0 3 8588 0 0 0 0 0 0 0 0 7175541271214
175 0 0 0 0 0 0 0 0 0 0 0 0 7175541306954
176 1 66 0 0 0 0 0 0 0 0 0 0 7175541346202
177 6 8588 0 0 0 0 0 0 0 0 0 0 7175541380002
178 0 0 2 66 0 0 0 0 0 0 0 0 7175541414218
179 0 0 3 8588 0 0 0 0 0 0 0 0 7175541437518
180 0 0 0 0 0 0 0 0 0 0 0 0 7175541470302
181 1 66 0 0 0 0 0 0 0 0 0 0 7175541509242
182 6 8588 0 0 0 0 0 0 0 0 0 0 7175541540454
183 0 0 2 66 0 0 0 0 0 0 0 0 7175541577734
