i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
101 0 0 0 0 0 0 0 0 0 0 0 0 1081552589471
102 2 8300 6 8300 0 0 0 0 0 0 0 0 1081552642619
103 0 0 0 0 0 0 0 0 0 0 0 0 1081552781656
104 4 8420 6 8300 0 0 0 0 0 0 0 0 1081552909225
105 0 0 0 0 0 0 0 0 0 0 0 0 1081552944116
106 3 5966 2 54 0 0 0 0 0 0 0 0 1081552963344
107 0 0 0 0 0 0 0 0 0 0 0 0 1081552997892
108 1 2454 4 8246 0 0 0 0 0 0 0 0 1081553045394
109 0 0 0 0 0 0 0 0 0 0 0 0 1081553136025
110 4 8420 6 8300 0 0 0 0 0 0 0 0 1081553191803
111 0 0 0 0 0 0 0 0 0 0 0 0 1081553208632
112 0 0 0 0 0 0 0 0 0 0 0 0 1081553301378
113 4 8420 6 8300 0 0 0 0 0 0 0 0 1081553325302
114 0 0 0 0 0 0 0 0 0 0 0 0 1081553359822
115 0 0 0 0 0 0 0 0 0 0 0 0 1081553394849
116 2 120 0 0 0 0 0 0 0 0 0 0 1081553413172
117 2 8300 6 8300 0 0 0 0 0 0 0 0 1081553441645
118 0 0 0 0 0 0 0 0 0 0 0 0 1081553476160
119 0 0 0 0 0 0 0 0 0 0 0 0 1081553478417
120 0 0 0 0 0 0 0 0 0 0 0 0 1081553513106
121 2 120 0 0 0 0 0 0 0 0 0 0 1081553523808
122 0 0 0 0 0 0 0 0 0 0 0 0 1081553558429
123 2 8300 6 8300 0 0 0 0 0 0 0 0 1081553611542
124 0 0 0 0 0 0 0 0 0 0 0 0 1081553752025
125 4 8420 6 8300 0 0 0 0 0 0 0 0 1081553824891
126 0 0 0 0 434911 2942250 5157795 12001 0 0 0 839917433 1081553872948
127 2 120 0 0 0 0 0 0 0 0 0 0 1081553890991
128 0 0 0 0 0 0 0 0 0 0 0 0 1081553925554
129 2 8300 6 8300 0 0 0 0 0 0 0 0 1081553979353
