sys i core itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
ebbrt_core 1 15 50 0x1d00 135 199855.2 30.0 0.0 12694379 137659232 3809603 174112 55912 0 2609797 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt 1 50 0x1d00 135 199855.2 30.0 2501.1 16000876937 44110310525 2418804546 80085187 340547 0 34383386 39.6 42.4 61.1 86.3 92.4 103.2 1218852822340 1305857733562
ebbrt_core 2 0 50 0x1d00 135 200115.5 30.0 1232.81 3061929457 9481277562 534335782 12687909 0 0 0 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 1 50 0x1d00 135 200115.5 30.0 1266.42 3103028914 10082805910 563832523 16508081 58870 0 410669 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 2 50 0x1d00 135 200115.5 30.0 0.0 3065968486 847186068 38224157 6175950 0 0 180902 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 3 50 0x1d00 135 200115.5 30.0 0.0 41490461 449456906 24330695 1983797 0 0 1562549 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 4 50 0x1d00 135 200115.5 30.0 0.0 3069569776 9732974788 547378228 13663635 0 0 348638 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 5 50 0x1d00 135 200115.5 30.0 0.0 10865232 270654042 10993976 1989992 0 0 99992 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 6 50 0x1d00 135 200115.5 30.0 0.0 85827173 1056190763 48663529 7141174 0 0 294031 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 7 50 0x1d00 135 200115.5 30.0 0.0 58092683 401774386 19643639 2273121 0 0 505122 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 8 50 0x1d00 135 200115.5 30.0 0.0 67878438 1006582871 48370319 6491420 0 0 0 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 9 50 0x1d00 135 200115.5 30.0 0.0 52906489 51459671 569029874 564123 0 0 181685 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 10 50 0x1d00 135 200115.5 30.0 0.0 98569748 1194582620 58387292 6592105 0 0 427228 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 11 50 0x1d00 135 200115.5 30.0 0.0 39269981 450293677 22145676 2147567 55506 0 136213 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 12 50 0x1d00 135 200115.5 30.0 0.0 96462387 1130824983 55541215 6728279 0 0 505992 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 13 50 0x1d00 135 200115.5 30.0 0.0 17548113 449673921 20344674 2549918 43674 0 34858 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 14 50 0x1d00 135 200115.5 30.0 0.0 61922836 560893037 23766225 5508492 0 0 508718 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 2 15 50 0x1d00 135 200115.5 30.0 0.0 80200211 470848682 22250318 2424099 0 0 225417 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt 2 50 0x1d00 135 200115.5 30.0 2499.23 13011530385 37637479887 2607238122 95429662 158050 0 5422014 39.0 41.8 60.7 86.1 92.3 103.2 1512407925316 1599411393069
ebbrt_core 0 0 50 0x1d00 95 200037.9 30.0 1233.25 3134960165 9691020699 545274564 13110985 0 0 0 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 1 50 0x1d00 95 200037.9 30.0 1266.34 3108405788 10135397587 566297400 16021668 120785 0 177799 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 2 50 0x1d00 95 200037.9 30.0 0.0 3155490583 1734781891 81214678 12862209 0 0 984260 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 3 50 0x1d00 95 200037.9 30.0 0.0 3170983925 763166196 41085419 4804352 0 0 79663 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 4 50 0x1d00 95 200037.9 30.0 0.0 3151108580 9849954426 553650148 13352007 0 0 136793 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 5 50 0x1d00 95 200037.9 30.0 0.0 3125269889 10031234957 561366956 3123556 0 0 278139 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 6 50 0x1d00 95 200037.9 30.0 0.0 13328112 1481629701 66045042 12370822 0 0 353858 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 7 50 0x1d00 95 200037.9 30.0 0.0 72777444 818073444 42298067 5365809 0 0 0 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 8 50 0x1d00 95 200037.9 30.0 0.0 3047892620 1412044204 65049930 11882552 0 0 1242766 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 9 50 0x1d00 95 200037.9 30.0 0.0 3123683957 10220443698 571147780 754135 0 0 240758 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 10 50 0x1d00 95 200037.9 30.0 0.0 10637410 1718131871 81931226 12784350 0 0 247457 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 11 50 0x1d00 95 200037.9 30.0 0.0 37545465 688712829 34687753 4754754 82447 0 135488 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 12 50 0x1d00 95 200037.9 30.0 0.0 42038091 1959653335 94693259 12469130 0 0 1023091 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 13 50 0x1d00 95 200037.9 30.0 0.0 3682684 520995391 24053874 5143331 0 0 254301 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 14 50 0x1d00 95 200037.9 30.0 0.0 29711487 1464121129 66704876 12095786 77981 0 162545 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 0 15 50 0x1d00 95 200037.9 30.0 0.0 3115708107 301207293 12374392 3908061 0 0 130268 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt 0 50 0x1d00 95 200037.9 30.0 2499.58 28343224307 62790568651 3407875364 144803507 281213 0 5447186 39.4 42.2 61.1 86.3 92.5 103.7 2099499281793 2186501629820
ebbrt_core 1 0 50 0x1d00 95 200140.4 30.0 1235.94 3091217569 9885051159 553790301 14380687 0 0 0 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 1 50 0x1d00 95 200140.4 30.0 1268.59 3085433996 10132189861 565098450 16290492 32190 0 0 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 2 50 0x1d00 95 200140.4 30.0 0.0 3048627967 2063837633 96295733 13135468 124294 0 170723 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 3 50 0x1d00 95 200140.4 30.0 0.0 3091086490 727640056 39894685 5155153 38802 0 155121 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 4 50 0x1d00 95 200140.4 30.0 0.0 3016184343 9320462598 4811783 11707693 0 0 262943 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 5 50 0x1d00 95 200140.4 30.0 0.0 3099032946 10086479995 563429803 4041278 0 0 308908 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 6 50 0x1d00 95 200140.4 30.0 0.0 3080887712 1974497147 89181728 13428212 0 0 216833 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 7 50 0x1d00 95 200140.4 30.0 0.0 77279518 1166121328 60330429 7136365 0 0 1115369 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 8 50 0x1d00 95 200140.4 30.0 0.0 49980218 1787480208 83396705 13795429 0 0 424908 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 9 50 0x1d00 95 200140.4 30.0 0.0 3087638990 10061513287 561922577 946452 0 0 341243 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 10 50 0x1d00 95 200140.4 30.0 0.0 3110533482 2047700364 97057111 13804040 0 0 0 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 11 50 0x1d00 95 200140.4 30.0 0.0 25709621 802223104 41204923 5368771 0 0 161327 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 12 50 0x1d00 95 200140.4 30.0 0.0 45547037 2429095006 117645073 13265548 0 0 0 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 13 50 0x1d00 95 200140.4 30.0 0.0 35968904 786712501 38680535 7067512 0 0 166779 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 14 50 0x1d00 95 200140.4 30.0 0.0 67415238 1931887825 90066837 13761418 0 0 178089 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 1 15 50 0x1d00 95 200140.4 30.0 0.0 3098780966 184787982 6753861 4360442 83433 0 193343 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt 1 50 0x1d00 95 200140.4 30.0 2504.53 31111324997 65387680054 3009560534 157644960 278719 0 3695586 39.2 42.0 60.8 85.9 92.0 102.9 2393538487258 2480540375353
ebbrt_core 2 0 50 0x1d00 95 200070.9 30.0 1133.77 2963475397 7122271421 413549497 12286821 0 0 0 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 1 50 0x1d00 95 200070.9 30.0 1159.96 2995466161 7536560151 434064336 13951083 0 0 1442025 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 2 50 0x1d00 95 200070.9 30.0 0.0 2992038071 2528571913 119259511 12341117 87145 0 1496777 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 3 50 0x1d00 95 200070.9 30.0 0.0 3013299892 853985813 47173440 6302863 0 0 77546 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 4 50 0x1d00 95 200070.9 30.0 0.0 2976328931 493887209 43917063 12128275 53650 0 3159724 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 5 50 0x1d00 95 200070.9 30.0 0.0 2999386274 7667117993 451034544 5228899 99383 0 669523 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 6 50 0x1d00 95 200070.9 30.0 0.0 2996393309 2344530422 107398665 12478673 0 0 60320 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 7 50 0x1d00 95 200070.9 30.0 0.0 112108483 1421992423 74384593 8375683 545983 0 3076349 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 8 50 0x1d00 95 200070.9 30.0 0.0 2932308110 2040783183 94386429 12306684 0 0 2187528 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 9 50 0x1d00 95 200070.9 30.0 0.0 2911380539 7596072382 446908678 1569077 0 0 0 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 10 50 0x1d00 95 200070.9 30.0 0.0 2893705148 2344576198 111200929 12307370 0 0 0 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 11 50 0x1d00 95 200070.9 30.0 0.0 2935286870 871364048 45155329 6019091 0 0 2401490 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 12 50 0x1d00 95 200070.9 30.0 0.0 24978960 2784186278 135805807 11428057 0 0 0 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 13 50 0x1d00 95 200070.9 30.0 0.0 2925379990 396152724 18945151 6124011 0 0 2712515 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 14 50 0x1d00 95 200070.9 30.0 0.0 17600363 2101231586 98243512 11000276 0 0 2979634 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 2 15 50 0x1d00 95 200070.9 30.0 0.0 2928414958 192335193 7928088 5184948 0 0 908947 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt 2 50 0x1d00 95 200070.9 30.0 2293.73 38617551456 48295618937 2649355572 149032928 786161 0 21172378 67.2 94.1 305.8 511.8 534.1 579.3 2686475081099 2773478378352
ebbrt_core 0 0 50 0x1d00 55 200025.6 30.0 1235.69 3195519156 9995260016 560730674 15009197 0 0 0 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 1 50 0x1d00 55 200025.6 30.0 1266.24 3085405395 10104510032 564129750 16216369 0 0 167417 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 2 50 0x1d00 55 200025.6 30.0 0.0 3092651420 3314237371 160719812 13218496 0 0 108808 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 3 50 0x1d00 55 200025.6 30.0 0.0 3064995079 1457721766 49537656 8608699 0 0 1472243 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 4 50 0x1d00 55 200025.6 30.0 0.0 3049013546 917674369 68100695 12947580 0 0 2038642 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 5 50 0x1d00 55 200025.6 30.0 0.0 3096633487 297055637 5268417 7581172 0 0 1727443 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 6 50 0x1d00 55 200025.6 30.0 0.0 60485348 2840265074 133071282 13977704 0 0 1047248 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 7 50 0x1d00 55 200025.6 30.0 0.0 94788697 1450326480 75396262 8755911 0 0 133893 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 8 50 0x1d00 55 200025.6 30.0 0.0 76809774 2763330467 132645572 13661655 0 0 256302 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 9 50 0x1d00 55 200025.6 30.0 0.0 79770037 10231664892 572148498 2554508 30189 0 53157 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 10 50 0x1d00 55 200025.6 30.0 0.0 87177795 3147993240 132953425 12895932 0 0 197751 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 11 50 0x1d00 55 200025.6 30.0 0.0 91510205 1041202837 57753769 7460274 0 0 228752 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 12 50 0x1d00 55 200025.6 30.0 0.0 182956929 3685636668 180688745 13640499 27405 0 141694 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 13 50 0x1d00 55 200025.6 30.0 0.0 23866092 308865413 19256346 7437010 0 0 164285 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 14 50 0x1d00 55 200025.6 30.0 0.0 250281734 3047272970 162882933 12868010 54520 0 0 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 0 15 50 0x1d00 55 200025.6 30.0 0.0 67594481 681486560 23873508 9064842 0 0 138765 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt 0 50 0x1d00 55 200025.6 30.0 2501.93 19599459175 55284503792 2899157344 175897858 112114 0 7876400 39.0 41.8 60.6 86.0 92.1 103.0 3244594794114 3331597253598
ebbrt_core 1 0 50 0x1d00 55 199879.6 30.0 1233.22 3123903789 9570980931 539166908 12846465 0 0 0 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 1 50 0x1d00 55 199879.6 30.0 1255.65 3107726931 9818349698 550641232 15145648 0 0 1097273 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 2 50 0x1d00 55 199879.6 30.0 0.0 193550 80229297 2484755 20541 72152 0 220835 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 3 50 0x1d00 55 199879.6 30.0 0.0 458700 93346520 3574345 14304 0 0 38947 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 4 50 0x1d00 55 199879.6 30.0 0.0 3091555716 9389956418 529098129 12002828 0 0 227998 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 5 50 0x1d00 55 199879.6 30.0 0.0 37252534 142249530 5273298 65092 0 0 93235 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 6 50 0x1d00 55 199879.6 30.0 0.0 33134472 120200092 4202623 55344 0 0 56202 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 7 50 0x1d00 55 199879.6 30.0 0.0 3162695324 10144293495 568390834 15787271 0 0 333152 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 8 50 0x1d00 55 199879.6 30.0 0.0 3151058505 9871684720 554333180 14192744 0 0 1122706 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 9 50 0x1d00 55 199879.6 30.0 0.0 3126442115 10251841073 573372350 16488999 0 0 133951 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 10 50 0x1d00 55 199879.6 30.0 0.0 33456830 120676140 4309616 46226 0 0 241425 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 11 50 0x1d00 55 199879.6 30.0 0.0 3139458705 10066631256 563628637 15797727 84825 0 1048147 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 12 50 0x1d00 55 199879.6 30.0 0.0 33151357 118153617 4096339 54749 0 0 201550 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
